Id, speed,acceleration,positionY,Gap,TimeGap,positionY,positionY,
1865965,9.722222969,0,983.6164709,7.777778375,2.49343832,1217.875,1045.331029,
1865965,9.722222323,0,993.3386967,7.777777858,2.311435523,1221.835,1055.053251,
1865965,9.722222236,0,1003.060919,7.777777789,2.154195011,1226.095,1064.775473,
1865965,9.722222224,0,1012.783142,7.777777779,2.016985138,1230.655,1074.497695,
1865965,9.722222222,0,1022.505364,7.777777778,1.896207585,1235.515,1084.219918,
1865965,9.722222222,0,1032.227586,7.777777778,1.789077213,1240.675,1093.94214,
1865965,9.722222222,0,1041.949808,7.777777778,1.663747811,1246.185,1103.664362,
1865965,9.722222222,0,1051.672031,7.777777778,1.554828151,1252.095,1113.386584,
1865965,9.722222222,0,1061.394253,7.777777778,1.459293395,1258.405,1122.759085,
1865965,9.722222222,0,1071.116475,7.777777778,1.374819103,1265.115,1131.252994,
1865965,8.94628832,0,1080.559583,7.157030656,1.299589603,1272.225,1138.787352,
1865965,8.000630839,0,1089.240433,6.400504671,1.232166018,1279.735,1145.351203,
1865965,7.032003765,0,1096.99382,5.625603012,1.248357424,1287.395,1150.943064,
1865965,6.060268093,0,1103.783256,4.848214474,1.264980027,1294.955,1155.562734,
1865965,5.088111718,0,1109.601888,4.070489374,1.282051282,1302.415,1159.210186,
1865965,4.115898408,0,1114.44853,3.292718726,1.299589603,1309.775,1161.885416,
1865965,3.143677391,0,1118.322987,2.514941913,1.317614424,1317.035,1163.588424,
1865965,2.171455332,0,1121.225227,1.737164266,1.336146273,1324.195,1164.31921,
1865965,1.199233132,0,1123.155246,0.959386506,1.355206847,1331.255,1164.427496,
1865965,0.227010913,0,1124.113043,0.18160873,1.395007342,1338.165,1164.442151,
1865965,0.030722593,0,1124.377732,0.024578074,1.437216339,1344.875,1164.444134,
1865965,0.004157852,0,1124.432457,0.003326282,1.482059282,1351.385,1164.444402,
1865965,5.63E-04,0,1124.442422,0.0004504,1.52979066,1357.695,1164.444439,
1865965,7.62E-05,0,1124.444116,0.00006096,1.580698835,1363.805,1164.444444,
1865965,1.03E-05,0,1124.444393,0.00000824,1.635111876,1369.715,1164.444444,
